chr,start,end,length,abs_summit,pileup,enrichment,fold_enrichment,enrichment,name
chr4,17513449,17514403,955,17513840,59.7,98.16608,39.39357,88.67511,AluGG-MRE11_hg38_final_peak_138
chr5,131388543,131389412,870,131388880,57.31,94.08311,37.84379,86.38453,AluGG-MRE11_hg38_final_peak_154
chr1,28436757,28437904,1148,28437253,69.25,96.22585,32.61922,87.96534,AluGG-MRE11_hg38_final_peak_3
chr1,26934384,26935245,862,26934641,48.95,76.09309,32.41955,69.27882,AluGG-MRE11_hg38_final_peak_2
chr12,53722187,53723201,1015,53722707,47.16,74.13588,31.25721,67.38999,AluGG-MRE11_hg38_final_peak_46
chr15,75877819,75879152,1334,75878403,57.31,81.55565,30.77629,74.59998,AluGG-MRE11_hg38_final_peak_66
chr18,12419571,12420354,784,12420080,42.39,64.488,28.15764,58.04353,AluGG-MRE11_hg38_final_peak_89
chr2,10806975,10807773,799,10807435,42.39,64.488,28.15764,58.04353,AluGG-MRE11_hg38_final_peak_97
chr1,156892195,156893241,1047,156892789,41.19,62.58749,27.38275,56.20441,AluGG-MRE11_hg38_final_peak_14
chr9,20744699,20745779,1081,20745118,50.75,66.61651,25.8725,60.10327,AluGG-MRE11_hg38_final_peak_187
chrX,104572303,104573143,841,104572623,43.58,59.01595,24.75999,52.76503,AluGG-MRE11_hg38_final_peak_208
chr3,138617788,138618535,748,138618045,37.61,53.07645,23.94975,47.04124,AluGG-MRE11_hg38_final_peak_130
chr1,236792381,236793154,774,236792804,33.43,47.77339,22.34595,41.86369,AluGG-MRE11_hg38_final_peak_25
chr10,110587646,110588487,842,110587994,42.98,53.20546,21.992,47.15161,AluGG-MRE11_hg38_final_peak_35
chr9,127382164,127382855,692,127382502,32.84,45.9748,21.95851,40.1077,AluGG-MRE11_hg38_final_peak_195
chr22,19200255,19201110,856,19200874,39.4,50.22343,21.32363,44.25098,AluGG-MRE11_hg38_final_peak_119
chr5,10252672,10253866,1195,10253316,44.78,53.38883,21.02429,47.31782,AluGG-MRE11_hg38_final_peak_147
chr20,33849096,33849862,767,33849574,40,48.33522,20.4995,42.4101,AluGG-MRE11_hg38_final_peak_114
chr15,72520600,72521375,776,72520971,34.03,44.63563,19.97734,38.82509,AluGG-MRE11_hg38_final_peak_65
chr13,26984787,26985449,663,26984993,41.79,48.6705,19.65329,42.73716,AluGG-MRE11_hg38_final_peak_49
chr4,55350578,55351367,790,55350747,29.25,40.65835,19.63383,34.9215,AluGG-MRE11_hg38_final_peak_140
chr10,86581241,86582158,918,86581732,38.21,46.73289,19.604,40.8482,AluGG-MRE11_hg38_final_peak_30
chr17,7623265,7623990,726,7623625,38.21,46.73289,19.604,40.8482,AluGG-MRE11_hg38_final_peak_76
chr4,152631307,152631879,573,152631631,28.66,38.91406,19.24639,33.22825,AluGG-MRE11_hg38_final_peak_144
chr1,70212569,70213598,1030,70212815,28.06,38.91406,18.85894,33.22825,AluGG-MRE11_hg38_final_peak_7
chrX,136870939,136871694,756,136871202,36.42,43.56146,18.7085,37.77636,AluGG-MRE11_hg38_final_peak_210
chr14,71395029,71396062,1034,71395445,27.46,37.18447,18.4715,31.56121,AluGG-MRE11_hg38_final_peak_60
chr3,179430272,179430962,691,179430620,27.46,37.18447,18.4715,31.56121,AluGG-MRE11_hg38_final_peak_135
